"Market Day	",Hour Ending,MWh
41684,21,4769.7
41684,22,4780.73
41684,23,4265.25
41684,24,3961.74
41685,1,3629.2
41685,2,3397.61
41685,3,3482.92
41685,4,3709.25
41685,5,3846.87
41685,6,4461.59
41685,7,4931.7
41685,8,5853.66
41685,9,5224.64
41685,10,4930.47
41685,11,2990.52
41685,12,5051.23
41685,13,5398.36
41685,14,4929.49
41685,15,4720.41
41685,16,5027.02
41685,17,5292.1
41685,18,5867.9
41685,19,5330.93
41685,20,4909.95
41685,21,5461.4
41685,22,5560.83
41685,23,6044.63
41685,24,6115.75
41686,1,5644.11
41686,2,4124.93
41686,3,3270.99
41686,4,3021.03
41686,5,2633.79
41686,6,2114
41686,7,1802.41
41686,8,1630.2
41686,9,1432.48
41686,10,1473.77
41686,11,1736.19
41686,12,2120.23
41686,13,2816.9
41686,14,3958.75
41686,15,4558.75
41686,16,5162.66
41686,17,5725.57
41686,18,6162.13
41686,19,6562.04
41686,20,6970.14
41686,21,7168.61
41686,22,7255.49
41686,23,7413.95
41686,24,7044.23
41687,1,6763.99
41687,2,7041.23
41687,3,7200.1
41687,4,6993.01
41687,5,7187.99
41687,6,6751.99
41687,7,6891.64
41687,8,6895.63
41687,9,7172.38
41687,10,7619.27
41687,11,8053.89
41687,12,7705.2
41687,13,7605.17
41687,14,7323.85
41687,15,6939.53
41687,16,6994.28
41687,17,7470.04
41687,18,7497.83
41687,19,6900.03
41687,20,6448.74
41687,21,6102.69
41687,22,5388.81
41687,23,5145.62
41687,24,5505.51
41688,1,6302.86
41688,2,6557.1
41688,3,6549.98
41688,4,6589.03
41688,5,6987.03
41688,6,6933.95
41688,7,7055.96
41688,8,7051.43
41688,9,7050.33
41688,10,6823.1
41688,11,6238.94
41688,12,5123.88
41688,13,4702.07
41688,14,4774.94
41688,15,4656.11
41688,16,4208.37
41688,17,4948.63
41688,18,5975.49
41688,19,7024.09
41688,20,7734.15
41688,21,7844.83
41688,22,7657.66
41688,23,7681.19
41688,24,7698.66
41689,1,7468.12
41689,2,6821.87
41689,3,6268.53
41689,4,5590.08
41689,5,5117.9
41689,6,4336.01
41689,7,3915.72
41689,8,3625.64
41689,9,3375.31
41689,10,3344.61
41689,11,2469.11
41689,12,2355.75
41689,13,2701.08
41689,14,3233.03
41689,15,4079.56
41689,16,4873.92
41689,17,5497.24
41689,18,6034.34
41689,19,6845.22
41689,20,7410.25
41689,21,7536.34
41689,22,7448.69
41689,23,7533.45
41689,24,7432.95
41690,1,6866.37
41690,2,6352.73
41690,3,5890.74
41690,4,4822.61
41690,5,4112.99
41690,6,3431.38
41690,7,3639.53
41690,8,3715.87
41690,9,4088.61
41690,10,4044.54
41690,11,4733.04
41690,12,6151.43
41690,13,7066.75
41690,14,7393.97
41690,15,7896.86
41690,16,8745.51
41690,17,9414.92
41690,18,9307.86
41690,19,8980.74
41690,20,9026.91
41690,21,9048.17
41690,22,9091.3
41690,23,8435.2
41690,24,8207.28
41691,1,8579.5
41691,2,7926.13
41691,3,9045.68
41691,4,7004.16
41691,5,8797.48
41691,6,9005.99
41691,7,9054.31
41691,8,8918.58
41691,9,9091.15
41691,10,8916.61
41691,11,8859.48
41691,12,8029.35
41691,13,7516.76
41691,14,7425.81
41691,15,7319.81
41691,16,7493.93
41691,17,7277.37
41691,18,6916.48
41691,19,6603.32
41691,20,6607.57
41691,21,6734.25
41691,22,6672.4
41691,23,6814.8
41691,24,6486.17
41692,1,6306.33
41692,2,6316.14
41692,3,6309.23
41692,4,6100.26
41692,5,5717.82
41692,6,5672.05
41692,7,6123.61
41692,8,5682.86
41692,9,5295.14
41692,10,4972.84
41692,11,4538.18
41692,12,4307.83
41692,13,4225.82
41692,14,4282.14
41692,15,4424.49
41692,16,4674.98
41692,17,4605.41
41692,18,4464.43
41692,19,4309.37
41692,20,4355.43
41692,21,4977.59
41692,22,5372.17
41692,23,5810.61
41692,24,6692.73
41693,1,6812.54
41693,2,6893.95
41693,3,6861.65
41693,4,6857.81
41693,5,6351.21
41693,6,5692.11
41693,7,5214.89
41693,8,5223.92
41693,9,5513.3
41693,10,5587.87
41693,11,5222.65
41693,12,5123.23
41693,13,5264.27
41693,14,5637.11
41693,15,5940.21
41693,16,5905.41
41693,17,5910.95
41693,18,5705.91
41693,19,5644.16
41693,20,5773.71
41693,21,6405.17
41693,22,6657.62
41693,23,6579.99
41693,24,6532.76
41694,1,6549.6
41694,2,6278.17
41694,3,5822.75
41694,4,5216.33
41694,5,4748.15
41694,6,4293.12
41694,7,4250.27
41694,8,4063.77
41694,9,3613.68
41694,10,2874.85
41694,11,1974.62
41694,12,1516.01
41694,13,1604.45
41694,14,1784.14
41694,15,2080.97
41694,16,2389.37
41694,17,2457.51
41694,18,2340.51
